"STATION","DIVISION","all","LAT","LON","geo_type","State_FIPS","County_FIPS","Tract_FIPS","f_pop","all_pop","p_emp_info","p_f_pop","p_emp_prof","p_75_100k","p_over_100k"
"BAY PKWY","IND",208769897,40.6209813,-73.9753623,"establishment","36","047","046202","1069","2041",0.0287206266318538,0.523762861342479,0.087467362924282,0.165,0.188
"BAY RIDGE-95 ST","BMT",12470242300,40.6167174,-74.0308527,"establishment","36","047","005800","1543","3092",0.0522832561217737,0.499029754204398,0.0926538716082065,0.162,0.208
"BAY RIDGE AV","BMT",66416787786,40.634968,-74.023376,"establishment","36","047","013000","2407","5028",0.0549450549450549,0.478719172633254,0.0879120879120879,0.181,0.225
"BAYCHESTER AV","IRT",86757499143,40.8874908,-73.8313873,"establishment","36","005","048401",NA,NA,NA,NA,NA,NA,NA
"BEACH 105 ST","IND",4997324861,40.5832071,-73.8273751,"establishment","36","081","093800","2463","5024",0.024609843937575,0.490246815286624,0.031812725090036,0.254,0.138
"BEACH 25 ST","IND",27189310508,40.5994598,-73.7618448,"establishment","36","081","099200","2164","4191",0.0260930888575458,0.516344547840611,0.035966149506347,0.065,0.073
"BEACH 36 ST","IND",125326509,40.595532,-73.7681238,"establishment","36","081","099200","2164","4191",0.0260930888575458,0.516344547840611,0.035966149506347,0.065,0.073
"BEACH 44 ST","IND",106876659,40.5929209,-73.7759484,"establishment","36","081","097202","1904","3170",0.00491159135559921,0.600630914826498,0.0284872298624754,0.058,0.026
"BEACH 60 ST","IND",5192854932,40.59244,-73.789283,"establishment","36","081","096400","2990","6021",0.0203674121405751,0.496595249958479,0.0555111821086262,0.159,0.146
"BEACH 67 ST","IND",533479121,40.5909714,-73.7963169,"establishment","36","081","095400","3137","5793",0.037691949744067,0.541515622302779,0.0451372731503025,0.179,0.143
"BEACH 90 ST","IND",281948809,40.5878487,-73.8140238,"establishment","36","081","094202","2350","4590",0.0268935236004391,0.5119825708061,0.0587266739846323,0.115,0.125
"BEACH 98 ST","IND",214706495,40.5854889,-73.8203521,"establishment","36","081","094201","1349","3280",0.0469630557294928,0.411280487804878,0.0582341891045711,0.111,0.171
"BEDFORD-NOSTRAN","IND",11467710482,40.6898534,-73.9516398,"establishment","36","047","024100","1456","2707",0.0685714285714286,0.537864794975988,0.161269841269841,0.167,0.209
"BEDFORD AV","BMT",3701935259,40.7177978,-73.9575171,"establishment","36","047","055300","1495","2953",0.102755721625409,0.506264815441923,0.237272302662307,0.145,0.369
"BEDFORD PK BLVD","IND",424418274,40.8732636,-73.8871965,"establishment","36","005","041100","1874","3766",0.0040650406504065,0.497610196494955,0.0152439024390244,0.033,0.013
"BEDFORD PK BLVD","IRT",147803164,40.8732636,-73.8871965,"establishment","36","005","041100","1874","3766",0.0040650406504065,0.497610196494955,0.0152439024390244,0.033,0.013
"BERGEN ST","IND",1179341567,40.6808734,-73.9751446,"establishment","36","047","012902","1294","2390",0.0935849056603774,0.541422594142259,0.265660377358491,0.164,0.414
"BERGEN ST","IRT",622082149,40.6808734,-73.9751446,"establishment","36","047","012902","1294","2390",0.0935849056603774,0.541422594142259,0.265660377358491,0.164,0.414
"BEVERLEY ROAD","BMT",495971804,40.6442398,-73.9645254,"establishment","36","047","152200","1890","3737",0.0642250530785563,0.505753278030506,0.141188959660297,0.166,0.312
"BEVERLY RD","IRT",3494829968,40.6442398,-73.9645254,"establishment","36","047","152200","1890","3737",0.0642250530785563,0.505753278030506,0.141188959660297,0.166,0.312
"BLEECKER ST","IRT",1582895909,40.725914,-73.994659,"establishment","36","061","005502","940","2059",0.110668789808917,0.456532297231666,0.182324840764331,0.078,0.691
"BOROUGH HALL","BMT",4345490988,40.6931492,-73.9900883,"establishment","36","047","001100","602","1359",0.0696428571428571,0.442972774098602,0.308928571428571,0.132,0.577
